system,question_id,score,answer_type,difficulty,question,gold_answer,predicted_answer,is_malformed
S1,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,0.0,name,hard,Who is the single judge common to both judgments?,null,[Not available],False
S1,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,0.0,number,easy,How many Parts are listed in the contents before Schedule 1?,8,4,False
S1,17bfa386a1f22d295d3ee717aae19a749af280616a875eade14b102a23dd9244,0.0,boolean,hard,"Does only one of the two statutes contain a substantive Digital Assets carve-out, while the other addresses only the medium of communication?",True,False,False
S1,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,0.0,date,easy,On what date was the order with reasons issued?,2026-01-21,2025-07-22,False
S1,33077cafec056dc1eaadb102da3cf0bc37f8c0a0ae0b73ec061c1c7cd4d1a71a,0.0,names,medium,Name the seven approved forms promulgated in Regulation 2.3.1.,"['Financing Statement (Form 1)', 'Financing Statement Amendment - Encumbered Asset Change (Form 2)', 'Financing Statement Amendment - Encumbered Asset Restatement (Form 3)', 'Financing Statement Amendment (Form 4)', 'Financing Statement Amendment - Party Details (Form 5)', 'Correction Statement (Form 6)', 'Information Request (Form 7)']","['Financing Statement', 'Financing Statement Amendment – Encumbered Asset Change', 'Financing Statement Amendment – Encumbered Asset Restatement', 'Financing Statement Amendment', 'Financing Statement Amendment – Party Details', 'Correction Statement', 'Information Request']",False
S2+R,07b32c626efd2cf7b1689f3a339d5bee4e0feb575126b511a88c0852edaf32c5,0.0,free_text,hard,"In one sentence, what is the main functional contrast between the two statutes?","The CRS regulations set reporting and due-diligence rules for financial accounts, while the partnership law governs formation, administration, and dissolution of general partnerships.","The Common Reporting Standard Regulations regulate financial institutions' reporting of cross-border financial transactions, while the Law on the Administration of the Law on the Administration of the Law on the Administration of the Law on the Administration of the Law on the Ad",False
S2+R,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,0.0,name,hard,Who is the single judge common to both judgments?,null,Mr Ori,False
S2+R,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,0.0,number,easy,How many Parts are listed in the contents before Schedule 1?,8,4,False
S2+R,1b67d805e6c51673736ef61f9ec1c390fdd4f2706d48a360e380110d720c0339,0.0,name,easy,Which organization’s explanatory material is integral to the Common Reporting Standard for these Regulations?,OECD,OECD explanatory material on the Common Reporting Standard,False
S2+R,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,0.0,date,easy,On what date was the order with reasons issued?,2026-01-21,2025-03-19,False
S3+R,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,0.0,name,hard,Who is the single judge common to both judgments?,null,Judge,False
S3+R,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,0.0,number,easy,How many Parts are listed in the contents before Schedule 1?,8,4,False
S3+R,17bfa386a1f22d295d3ee717aae19a749af280616a875eade14b102a23dd9244,0.0,boolean,hard,"Does only one of the two statutes contain a substantive Digital Assets carve-out, while the other addresses only the medium of communication?",True,False,False
S3+R,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,0.0,date,easy,On what date was the order with reasons issued?,2026-01-21,2025-08-08,False
S3+R,33077cafec056dc1eaadb102da3cf0bc37f8c0a0ae0b73ec061c1c7cd4d1a71a,0.0,names,medium,Name the seven approved forms promulgated in Regulation 2.3.1.,"['Financing Statement (Form 1)', 'Financing Statement Amendment - Encumbered Asset Change (Form 2)', 'Financing Statement Amendment - Encumbered Asset Restatement (Form 3)', 'Financing Statement Amendment (Form 4)', 'Financing Statement Amendment - Party Details (Form 5)', 'Correction Statement (Form 6)', 'Information Request (Form 7)']","['Financing Statement', 'Financing Statement Amendment – Encumbered Asset Change', 'Financing Statement Amendment – Encumbered Asset Restatement', 'Financing Statement Amendment', 'Financing Statement Amendment – Party Details', 'Correction Statement', 'Information Request', 'Information Request']",False
S7,07b32c626efd2cf7b1689f3a339d5bee4e0feb575126b511a88c0852edaf32c5,0.0,free_text,hard,"In one sentence, what is the main functional contrast between the two statutes?","The CRS regulations set reporting and due-diligence rules for financial accounts, while the partnership law governs formation, administration, and dissolution of general partnerships.","The Common Reporting Standard Regulations require reporting financial institutions to collect and report information on certain financial accounts, while the Law provides for the examination of persons outside the jurisdiction to enforce judgments.",False
S7,08cc28c0704e573badde057a308230bde9aa15704bd26d767370f121801e4737,0.0,name,hard,Who is the single judge common to both judgments?,null,Mr. Justice David O'Connor,False
S7,0d445938afad189c36cd927f6420870ecf678f22e2f1158bf2c9f0db84a2b680,0.0,number,easy,How many Parts are listed in the contents before Schedule 1?,8,4,False
S7,2452eb7b7f44e7016edeeba41a7b1ae4badb99bb5cfc06a918f611e54e558abd,0.0,date,easy,On what date was the order with reasons issued?,2026-01-21,2025-03-19,False
S7,33077cafec056dc1eaadb102da3cf0bc37f8c0a0ae0b73ec061c1c7cd4d1a71a,0.0,names,medium,Name the seven approved forms promulgated in Regulation 2.3.1.,"['Financing Statement (Form 1)', 'Financing Statement Amendment - Encumbered Asset Change (Form 2)', 'Financing Statement Amendment - Encumbered Asset Restatement (Form 3)', 'Financing Statement Amendment (Form 4)', 'Financing Statement Amendment - Party Details (Form 5)', 'Correction Statement (Form 6)', 'Information Request (Form 7)']","['Financing Statement', 'Financing Statement Amendment - Encumbered Asset Change', 'Financing Statement Amendment - Encumbered Asset Restatement', 'Financing Statement Amendment', 'Financing Statement Amendment - Party Details', 'Correction Statement', 'Information Request', 'Information Request']",False
