system,criterion,mean_score
S1,correctness,0.6923076923076923
S1,completeness,0.5384615384615384
S1,grounding,0.8461538461538461
S1,calibration,0.6923076923076923
S1,clarity,0.9230769230769231
S2+R,correctness,0.6666666666666666
S2+R,completeness,0.5128205128205128
S2+R,grounding,0.7948717948717948
S2+R,calibration,0.6923076923076923
S2+R,clarity,0.9230769230769231
S3+R,correctness,0.8205128205128205
S3+R,completeness,0.6923076923076923
S3+R,grounding,0.8974358974358975
S3+R,calibration,0.717948717948718
S3+R,clarity,1.0
S7,correctness,0.7435897435897436
S7,completeness,0.5641025641025641
S7,grounding,0.8205128205128205
S7,calibration,0.717948717948718
S7,clarity,0.9743589743589743
S2,correctness,0.02564102564102564
S2,completeness,0.0
S2,grounding,0.1794871794871795
S2,calibration,0.07692307692307693
S2,clarity,0.9487179487179487
S3,correctness,0.0
S3,completeness,0.0
S3,grounding,0.4358974358974359
S3,calibration,0.358974358974359
S3,clarity,0.717948717948718
