system_a,system_b,win_rate_a_over_b,win_count,tie_count,n_questions
S1,S1,1.0,50,50,50
S1,S2+R,0.16,8,33,50
S1,S3+R,0.08,4,38,50
S1,S7,0.14,7,31,50
S1,S2,0.52,26,22,50
S1,S3,0.6,30,17,50
S2+R,S1,0.18,9,33,50
S2+R,S2+R,1.0,50,50,50
S2+R,S3+R,0.14,7,36,50
S2+R,S7,0.06,3,40,50
S2+R,S2,0.54,27,21,50
S2+R,S3,0.64,32,17,50
S3+R,S1,0.16,8,38,50
S3+R,S2+R,0.14,7,36,50
S3+R,S3+R,1.0,50,50,50
S3+R,S7,0.12,6,33,50
S3+R,S2,0.54,27,22,50
S3+R,S3,0.62,31,17,50
S7,S1,0.24,12,31,50
S7,S2+R,0.14,7,40,50
S7,S3+R,0.22,11,33,50
S7,S7,1.0,50,50,50
S7,S2,0.6,30,19,50
S7,S3,0.7,35,14,50
S2,S1,0.04,2,22,50
S2,S2+R,0.04,2,21,50
S2,S3+R,0.02,1,22,50
S2,S7,0.02,1,19,50
S2,S2,1.0,50,50,50
S2,S3,0.24,12,30,50
S3,S1,0.06,3,17,50
S3,S2+R,0.02,1,17,50
S3,S3+R,0.04,2,17,50
S3,S7,0.02,1,14,50
S3,S2,0.16,8,30,50
S3,S3,1.0,50,50,50
