system,answer_type,score
S1,boolean,0.8333333333333334
S2+R,boolean,0.8888888888888888
S3+R,boolean,0.8333333333333334
S7,boolean,0.8888888888888888
S2,boolean,0.75
S3,boolean,0.3333333333333333
S1,number,0.7142857142857143
S2+R,number,0.7142857142857143
S3+R,number,0.7142857142857143
S7,number,0.8095238095238095
S2,number,0.14285714285714285
S3,number,0.0
S1,name,0.5
S2+R,name,0.625
S3+R,name,0.5833333333333334
S7,name,0.7083333333333334
S2,name,0.0
S3,name,0.125
S1,names,0.45
S2+R,names,0.2614035087719298
S3+R,names,0.3
S7,names,0.22436647173489277
S2,names,0.0
S3,names,0.0
S1,date,0.2
S2+R,date,0.4
S3+R,date,0.2
S7,date,0.4
S2,date,0.0
S3,date,0.0
S1,free_text,0.7384615384615385
S2+R,free_text,0.717948717948718
S3+R,free_text,0.8256410256410257
S7,free_text,0.764102564102564
S2,free_text,0.24615384615384617
S3,free_text,0.3025641025641026
